name,content,price
한성컴퓨터 올데이롱 TFX6250H 8GB램,"노트북/운영체제(OS): 미포함(프리도스)/용도: 사무/인강용/
화면정보 40.64cm(16인치)/2560x1600(WQXGA)/300nit/주사율: 90Hz/
CPU 인텔/코어i5-12세대/i5-12450H (2.0GHz)/옥타코어(4P+4E)/
램 DDR4/램 용량: 8GB/3200MHz/램 교체: 가능/
그래픽 내장그래픽/UHD Graphics/
저장장치 M.2(NVMe)/500GB/저장 슬롯: 2개/
네트워크 무선랜: 802.11ax(Wi-Fi 6)/
영상입출력 HDMI 2.0/DP Alt Mode/웹캠(HD)/
단자 썬더볼트4: 1개(USB-C겸용)/USB-C: 1개/USB-A: 2개/SD카드/
파워 배터리: 82.04Wh/어댑터: 90W/전원: USB-PD(+DC)/
주요제원 두께: 19mm/무게: 1.46kg/쿨링팬: 2개/색상: 블랙","968,000"
한성컴퓨터 Bossmonster GTX63 T9X6Q16,"노트북/운영체제(OS): 미포함(프리도스)/용도: 게임용, 그래픽작업용/
화면정보 40.64cm(16인치)/2560x1600(WQXGA)/500nit/주사율: 240Hz/
CPU 인텔/코어i9-13세대/i9-13900HX (2.2GHz)/24코어(8P+16E)/
램 DDR5/램 용량: 16GB/4800MHz/램 교체: 가능/
그래픽 외장그래픽/RTX4060/TGP: 140W/VRAM:8GB/MUX 스위치/
저장장치 M.2(NVMe)/500GB/저장 슬롯: 2개/
네트워크 무선랜: 802.11ax(Wi-Fi 6E)/유선랜: 기가비트/
영상입출력 HDMI 2.0/DP Alt Mode/mini DP/웹캠(HD)/
단자 썬더볼트4: 1개(USB-C겸용)/USB-C: 1개/USB-A: 2개/MicroSD카드/
파워 배터리: 73Wh/어댑터: 280W/전원: DC/
사용환경 소음: 60db(풀로드)/온도: 41도(풀로드/상판)/
주요제원 두께: 27.8mm/무게: 2.5kg/쿨링팬: 2개/색상: 블랙","1,697,000"
한성컴퓨터 Bossmonster GTX74 N9X6Q24,"노트북/운영체제(OS): 미포함(프리도스)/용도: 게임용, 그래픽작업용/
화면정보 43.94cm(17.3인치)/2560x1440(QHD)/300nit/주사율: 240Hz/
CPU 인텔/코어i9-14세대/i9-14900HX (5.8GHz)/24코어(8P+16E)/
램 DDR5/램 용량: 16GB/5600MHz/램 교체: 가능/
그래픽 외장그래픽/RTX4060/TGP: 140W/VRAM:8GB/MUX 스위치/
저장장치 M.2(NVMe)/500GB/저장 슬롯: 2개/
네트워크 무선랜: 802.11ax(Wi-Fi 6E)/유선랜: 기가비트/
영상입출력 HDMI 2.1/DP Alt Mode/mini DP/웹캠(HD)/
단자 썬더볼트4: 1개(USB-C겸용)/USB-C: 1개/USB-A: 2개/MicroSD카드/
파워 배터리: 73Wh/어댑터: 280W/전원: DC/
주요제원 두께: 27.8mm/무게: 2.86kg/쿨링팬: 2개/색상: 블랙","1,838,000"
한성컴퓨터 Bossmonster GTS73 N9X8U14,"노트북/운영체제(OS): 미포함(프리도스)/용도: 게임용, 그래픽작업용/
화면정보 43.94cm(17.3인치)/3840x2160(4K UHD)/500nit/주사율: 144Hz/
CPU 인텔/코어i9-13세대/i9-13900HX (2.2GHz)/24코어(8P+16E)/
램 DDR5/램 용량: 32GB/4800MHz/램 교체: 가능/
그래픽 외장그래픽/RTX4080/TGP: 175W/VRAM:12GB/MUX 스위치/
저장장치 M.2(NVMe)/1TB/저장 슬롯: 3개/
네트워크 무선랜: 802.11ax(Wi-Fi 6E)/유선랜: 2.5기가비트/
영상입출력 HDMI 2.1/DP Alt Mode/mini DP/웹캠(FHD)/
단자 썬더볼트4: 2개(USB-C겸용)/USB-A: 2개/
파워 배터리: 99Wh/어댑터: 330W/전원: USB-PD(+DC)/
사용환경 소음: 60db(풀로드)/온도: 48.9도(풀로드/상판)/
주요제원 두께: 24.9mm/무게: 3.4kg/쿨링팬: 2개/색상: 블랙","3,399,000"
한성컴퓨터 Bossmonster GTX74 N9X7Q24,"노트북/운영체제(OS): 미포함(프리도스)/용도: 게임용, 그래픽작업용/
화면정보 43.94cm(17.3인치)/2560x1440(QHD)/300nit/주사율: 240Hz/
CPU 인텔/코어i9-14세대/i9-14900HX (5.8GHz)/24코어(8P+16E)/
램 DDR5/램 용량: 16GB/5600MHz/램 교체: 가능/
그래픽 외장그래픽/RTX4070/TGP: 140W/VRAM:8GB/MUX 스위치/
저장장치 M.2(NVMe)/500GB/저장 슬롯: 2개/
네트워크 무선랜: 802.11ax(Wi-Fi 6E)/유선랜: 기가비트/
영상입출력 HDMI 2.1/DP Alt Mode/mini DP/웹캠(HD)/
단자 썬더볼트4: 1개(USB-C겸용)/USB-C: 1개/USB-A: 2개/MicroSD카드/
파워 배터리: 73Wh/어댑터: 280W/전원: DC/
주요제원 두께: 27.8mm/무게: 2.86kg/쿨링팬: 2개/색상: 블랙","2,036,670"
한성컴퓨터 Bossmonster GTS73 N9X8U14 W11 64GB램,"노트북/운영체제(OS): 윈도우11홈/용도: 게임용, 그래픽작업용/
화면정보 43.94cm(17.3인치)/3840x2160(4K UHD)/500nit/주사율: 144Hz/
CPU 인텔/코어i9-13세대/i9-13900HX (2.2GHz)/24코어(8P+16E)/
램 DDR5/램 용량: 64GB/4800MHz/램 교체: 가능/
그래픽 외장그래픽/RTX4080/TGP: 175W/VRAM:12GB/MUX 스위치/
저장장치 M.2(NVMe)/1TB/저장 슬롯: 3개/
네트워크 무선랜: 802.11ax(Wi-Fi 6E)/유선랜: 2.5기가비트/
영상입출력 HDMI 2.1/DP Alt Mode/mini DP/웹캠(FHD)/
단자 썬더볼트4: 2개(USB-C겸용)/USB-A: 2개/
파워 배터리: 99Wh/어댑터: 330W/전원: USB-PD(+DC)/
주요제원 두께: 24.9mm/무게: 3.4kg/쿨링팬: 2개/색상: 블랙","3,740,000"
한성컴퓨터 Bossmonster GTX74 N9X6Q24W,"노트북/운영체제(OS): 윈도우11홈/용도: 게임용, 그래픽작업용/
화면정보 43.94cm(17.3인치)/2560x1440(QHD)/300nit/주사율: 240Hz/
CPU 인텔/코어i9-14세대/i9-14900HX (5.8GHz)/24코어(8P+16E)/
램 DDR5/램 용량: 16GB/5600MHz/램 교체: 가능/
그래픽 외장그래픽/RTX4060/TGP: 140W/VRAM:8GB/MUX 스위치/
저장장치 M.2(NVMe)/500GB/저장 슬롯: 2개/
네트워크 무선랜: 802.11ax(Wi-Fi 6E)/유선랜: 기가비트/
영상입출력 HDMI 2.1/DP Alt Mode/mini DP/웹캠(HD)/
단자 썬더볼트4: 1개(USB-C겸용)/USB-C: 1개/USB-A: 2개/MicroSD카드/
파워 배터리: 73Wh/어댑터: 280W/전원: DC/
주요제원 두께: 27.8mm/무게: 2.86kg/쿨링팬: 2개/색상: 블랙","1,988,000"
한성컴퓨터 Bossmonster GTX73 N9X6Q24,"노트북/운영체제(OS): 미포함(프리도스)/용도: 게임용, 그래픽작업용/
화면정보 43.94cm(17.3인치)/2560x1440(QHD)/300nit/주사율: 240Hz/
CPU 인텔/코어i9-13세대/i9-13900HX (2.2GHz)/24코어(8P+16E)/
램 DDR5/램 용량: 16GB/4800MHz/램 교체: 가능/
그래픽 외장그래픽/RTX4060/TGP: 140W/VRAM:8GB/MUX 스위치/
저장장치 M.2(NVMe)/500GB/저장 슬롯: 2개/
네트워크 무선랜: 802.11ax(Wi-Fi 6E)/유선랜: 기가비트/
영상입출력 HDMI 2.0/DP Alt Mode/mini DP/웹캠(HD)/
단자 썬더볼트4: 1개(USB-C겸용)/USB-C: 1개/USB-A: 2개/MicroSD카드/
파워 배터리: 73Wh/어댑터: 280W/전원: DC/
주요제원 두께: 27.8mm/무게: 2.8kg/쿨링팬: 2개/색상: 블랙","2,088,000"
한성컴퓨터 TFG6397,"노트북/운영체제(OS): 미포함(프리도스)/용도: 게임용, 그래픽작업용/
화면정보 40.64cm(16인치)/2560x1600(WQXGA)/500nit/주사율: 240Hz/
CPU 인텔/코어i9-13세대/i9-13900HX (2.2GHz)/24코어(8P+16E)/
램 DDR5/램 용량: 16GB/4800MHz/램 교체: 가능/
그래픽 외장그래픽/RTX4070/TGP: 140W/VRAM:8GB/MUX 스위치/
저장장치 M.2(NVMe)/500GB/저장 슬롯: 2개/
네트워크 무선랜: 802.11ax(Wi-Fi 6E)/유선랜: 2.5기가비트/
영상입출력 HDMI 2.1/DP Alt Mode/웹캠(HD)/
단자 썬더볼트4: 1개(USB-C겸용)/USB-A: 3개/SD카드/
파워 배터리: 97.5Wh/어댑터: 330W/전원: DC/
사용환경 소음: 55db(풀로드)/온도: 45도(풀로드/상판)/
주요제원 두께: 31mm/무게: 2.6kg/쿨링팬: 2개/색상: 화이트","1,999,000"
한성컴퓨터 TFX5550UC,"노트북/운영체제(OS): 미포함(프리도스)/용도: 사무/인강용/
화면정보 39.62cm(15.6인치)/1920x1080(FHD)/300nit/
CPU AMD/라이젠5-4세대/5500U (2.1GHz)/헥사(6)코어/
램 DDR4/램 용량: 8GB/3200MHz/램 교체: 가능/
그래픽 내장그래픽/Radeon Graphics/
저장장치 M.2(NVMe)/250GB/저장 슬롯: 1개/
네트워크 무선랜: 802.11ac(Wi-Fi 5)/유선랜: 기가비트/
영상입출력 HDMI/DP Alt Mode/웹캠(HD)/
단자 USB-C: 1개/USB-A: 3개/MicroSD카드/
파워 배터리: 49Wh/어댑터: 65W/전원: USB-PD(+DC)/
주요제원 두께: 20mm/무게: 1.6kg/색상: 블랙","688,000"
