name,content,price
APPLE 2024 맥북프로14 M3 Pro 11Core 14GPU 블랙,"AI 노트북/운영체제(OS): macOS Sonoma/용도: 그래픽작업용/
화면정보 35.9cm(14.2인치)/3024x1964(254ppi)/1000nit/주사율: 120Hz/
CPU 애플(ARM)/M3 Pro/11코어(5P+6E)/
NPU 애플 뉴럴엔진/18TOPS/
램 램 용량: 18GB/램 교체: 불가능/
그래픽 내장그래픽/M3 Pro/14core/
저장장치 SSD/512GB/
네트워크 무선랜: 802.11ax(Wi-Fi 6E)/
영상입출력 HDMI/DP Alt Mode/웹캠(FHD)/
단자 썬더볼트4: 3개(USB-C겸용)/SD카드/
파워 배터리: 72.4Wh/어댑터: 70W/전원: USB-PD/최대18시간/
주요제원 두께: 15.5mm/무게: 1.61kg/쿨링팬: 2개/색상: 블랙","2,399,990"
APPLE 2024 맥북프로16 M3 Pro 12Core 18GPU 블랙,"AI 노트북/운영체제(OS): macOS Sonoma/용도: 그래픽작업용/
화면정보 41.0cm(16.2인치)/3456x2234(254ppi)/1000nit/주사율: 120Hz/
CPU 애플(ARM)/M3 Pro/12코어(6P+6E)/
NPU 애플 뉴럴엔진/18TOPS/
램 램 용량: 18GB/램 교체: 불가능/
그래픽 내장그래픽/M3 Pro/18core/
저장장치 SSD/512GB/
네트워크 무선랜: 802.11ax(Wi-Fi 6E)/
영상입출력 HDMI/DP Alt Mode/웹캠(FHD)/
단자 썬더볼트4: 3개(USB-C겸용)/SD카드/
파워 배터리: 100Wh/어댑터: 140W/전원: USB-PD/최대22시간/
주요제원 두께: 16.8mm/무게: 2.14kg/쿨링팬: 2개/색상: 블랙","3,439,660"
APPLE 2024 맥북프로14 M3 8Core 10GPU 실버,"AI 노트북/운영체제(OS): macOS Sonoma/용도: 그래픽작업용/
화면정보 35.9cm(14.2인치)/3024x1964(254ppi)/1000nit/주사율: 120Hz/
CPU 애플(ARM)/M3/옥타(8)코어(4P+4E)/
NPU 애플 뉴럴엔진/18TOPS/
램 램 용량: 8GB/램 교체: 불가능/
그래픽 내장그래픽/M3/10core/
저장장치 SSD/512GB/
네트워크 무선랜: 802.11ax(Wi-Fi 6E)/
영상입출력 HDMI/DP Alt Mode/웹캠(FHD)/
단자 썬더볼트3: 2개(USB-C겸용)/SD카드/
파워 배터리: 70Wh/어댑터: 70W/전원: USB-PD/최대22시간/
주요제원 두께: 15.5mm/무게: 1.55kg/쿨링팬: 2개/색상: 실버","1,912,000"
APPLE 2024 맥북프로16 M3 Max 16Core 40GPU 블랙,"AI 노트북/운영체제(OS): macOS Sonoma/용도: 그래픽작업용/
화면정보 41.0cm(16.2인치)/3456x2234(254ppi)/1000nit/주사율: 120Hz/
CPU 애플(ARM)/M3 Max/16코어(12P+4E)/
NPU 애플 뉴럴엔진/18TOPS/
램 램 용량: 48GB/램 교체: 불가능/
그래픽 내장그래픽/M3 Max/40core/
저장장치 SSD/1TB/
네트워크 무선랜: 802.11ax(Wi-Fi 6E)/
영상입출력 HDMI/DP Alt Mode/웹캠(FHD)/
단자 썬더볼트4: 3개(USB-C겸용)/SD카드/
파워 배터리: 100Wh/어댑터: 140W/전원: USB-PD/최대22시간/
주요제원 두께: 16.8mm/무게: 2.16kg/쿨링팬: 2개/색상: 블랙","5,436,990"
APPLE 2024 맥북프로16 M3 Max 16Core 40GPU 실버,"AI 노트북/운영체제(OS): macOS Sonoma/용도: 그래픽작업용/
화면정보 41.0cm(16.2인치)/3456x2234(254ppi)/1000nit/주사율: 120Hz/
CPU 애플(ARM)/M3 Max/16코어(12P+4E)/
NPU 애플 뉴럴엔진/18TOPS/
램 램 용량: 48GB/램 교체: 불가능/
그래픽 내장그래픽/M3 Max/40core/
저장장치 SSD/1TB/
네트워크 무선랜: 802.11ax(Wi-Fi 6E)/
영상입출력 HDMI/DP Alt Mode/웹캠(FHD)/
단자 썬더볼트4: 3개(USB-C겸용)/SD카드/
파워 배터리: 100Wh/어댑터: 140W/전원: USB-PD/최대22시간/
주요제원 두께: 16.8mm/무게: 2.16kg/쿨링팬: 2개/색상: 실버","5,297,990"
APPLE 2020 맥북에어 M1 8Core 7GPU 실버,"AI 노트북/운영체제(OS): macOS Big Sur/용도: 사무/인강용, 휴대용/
화면정보 33.78cm(13.3인치)/2560x1600(WQXGA)/400nit/
CPU 애플(ARM)/M1/APL1102/옥타코어(4+4)/
NPU 애플 뉴럴엔진/11TOPS/
램 램 용량: 8GB/램 교체: 불가능/
그래픽 내장그래픽/M1/7core/
저장장치 SSD/256GB/
네트워크 무선랜: 802.11ax(Wi-Fi 6)/
영상입출력 웹캠(HD)/
단자 썬더볼트3: 2개(USB-C겸용)/
파워 배터리: 49.9Wh/어댑터: 30W/전원: USB-PD/최대18시간/
주요제원 두께: 16.1mm/무게: 1.29kg/쿨링팬: 없음(팬리스)/색상: 실버","1,141,000"
APPLE 2021 맥북프로14 M1 Pro 10Core 16GPU 실버,"AI 노트북/운영체제(OS): macOS Monterey/용도: 그래픽작업용/
화면정보 35.97cm(14.2인치)/3024x1964/1000nit/주사율: 120Hz/
CPU 애플(ARM)/M1 Pro/APL1103/10코어(8+2)/
NPU 애플 뉴럴엔진/11TOPS/
램 램 용량: 16GB/램 교체: 불가능/
그래픽 내장그래픽/M1 Pro/16core/
저장장치 SSD/1TB/
네트워크 무선랜: 802.11ax(Wi-Fi 6)/
영상입출력 HDMI/DP Alt Mode/웹캠(FHD)/
단자 썬더볼트4: 3개(USB-C겸용)/SD카드/
파워 배터리: 70Wh/어댑터: 96W/전원: USB-PD/
주요제원 두께: 15.5mm/무게: 1.6kg/쿨링팬: 2개/색상: 실버","2,020,800"
APPLE 2024 맥북에어15 M3 8Core 10GPU 그레이,"AI 노트북/운영체제(OS): macOS Sonoma/용도: 그래픽작업용/
화면정보 38.9cm(15.3인치)/2880x1864(224ppi)/500nit/
CPU 애플(ARM)/M3/옥타코어(4P+4E)/
NPU 애플 뉴럴엔진/18TOPS/
램 램 용량: 8GB/램 교체: 불가능/
그래픽 내장그래픽/M3/10core/
저장장치 SSD/256GB/
네트워크 무선랜: 802.11ax(Wi-Fi 6E)/
영상입출력 DP Alt Mode/웹캠(FHD)/
단자 썬더볼트3: 2개(USB-C겸용)/
파워 배터리: 66.5Wh/어댑터: 35W (듀얼 USB-C포트)/전원: USB-PD/최대18시간/
주요제원 두께: 11.5mm/무게: 1.51kg/쿨링팬: 없음(팬리스)/색상: 그레이","1,658,140"
APPLE 2024 맥북프로16 M3 Max 14Core 30GPU 블랙,"AI 노트북/운영체제(OS): macOS Sonoma/용도: 그래픽작업용/
화면정보 41.0cm(16.2인치)/3456x2234(254ppi)/1000nit/주사율: 120Hz/
CPU 애플(ARM)/M3 Max/14코어(10P+4E)/
NPU 애플 뉴럴엔진/18TOPS/
램 램 용량: 36GB/램 교체: 불가능/
그래픽 내장그래픽/M3 Max/30core/
저장장치 SSD/1TB/
네트워크 무선랜: 802.11ax(Wi-Fi 6E)/
영상입출력 HDMI/DP Alt Mode/웹캠(FHD)/
단자 썬더볼트4: 3개(USB-C겸용)/SD카드/
파워 배터리: 100Wh/어댑터: 140W/전원: USB-PD/최대22시간/
주요제원 두께: 16.8mm/무게: 2.16kg/쿨링팬: 2개/색상: 블랙","4,888,780"
APPLE 2024 맥북프로14 M3 Pro 12Core 18GPU 블랙,"AI 노트북/운영체제(OS): macOS Sonoma/용도: 그래픽작업용/
화면정보 35.9cm(14.2인치)/3024x1964(254ppi)/1000nit/주사율: 120Hz/
CPU 애플(ARM)/M3 Pro/12코어(6P+6E)/
NPU 애플 뉴럴엔진/18TOPS/
램 램 용량: 18GB/램 교체: 불가능/
그래픽 내장그래픽/M3 Pro/18core/
저장장치 SSD/512GB/
네트워크 무선랜: 802.11ax(Wi-Fi 6E)/
영상입출력 HDMI/DP Alt Mode/웹캠(FHD)/
단자 썬더볼트4: 3개(USB-C겸용)/SD카드/
파워 배터리: 72.4Wh/어댑터: 96W/전원: USB-PD/최대18시간/
주요제원 두께: 15.5mm/무게: 1.61kg/쿨링팬: 2개/색상: 블랙","2,844,000"
